"Gene_Id","padj","logFC","Regulation"
"221241_s_at",0.006942,-1.6574986,"Downregulated"
"240096_at",0.006942,-1.923969,"Downregulated"
"231849_at",0.006981,2.6227376,"Upregulated"
"204165_at",0.006999,1.7321758,"Upregulated"
"225175_s_at",0.006999,-1.0519176,"Downregulated"
"204052_s_at",0.007282,3.4065385,"Upregulated"
"231732_at",0.007282,-2.1118725,"Downregulated"
"242913_at",0.007282,-2.5298135,"Downregulated"
"1567252_at",0.007283,-2.0399148,"Downregulated"
"1555265_at",0.007283,-1.9802076,"Downregulated"
"240422_at",0.007293,-2.2189887,"Downregulated"
"216063_at",0.007304,-1.1666795,"Downregulated"
"218844_at",0.007315,-1.2278547,"Downregulated"
"241349_at",0.007315,-1.4100767,"Downregulated"
"226695_at",0.007315,2.1126396,"Upregulated"
"218124_at",0.007324,-1.124912,"Downregulated"
"203820_s_at",0.007403,3.2869979,"Upregulated"
"237879_at",0.007416,-1.1190647,"Downregulated"
"220609_at",0.007416,-1.4407435,"Downregulated"
"213010_at",0.007441,1.2846208,"Upregulated"
"203768_s_at",0.007441,-1.7986646,"Downregulated"
"232699_at",0.007441,-1.3128572,"Downregulated"
"228787_s_at",0.007535,1.7120242,"Upregulated"
"215074_at",0.007662,1.0522716,"Upregulated"
"225464_at",0.007662,1.2955987,"Upregulated"
"203417_at",0.007662,2.1811041,"Upregulated"
"1560850_at",0.007702,-3.6415226,"Downregulated"
"230573_at",0.007702,-2.2435405,"Downregulated"
"224307_x_at",0.007734,-1.1695583,"Downregulated"
"231120_x_at",0.007734,-2.773715,"Downregulated"
"201616_s_at",0.007734,1.5775948,"Upregulated"
"211549_s_at",0.007734,-2.7404028,"Downregulated"
"231704_at",0.007734,-1.1446395,"Downregulated"
"204151_x_at",0.007734,-2.7298538,"Downregulated"
"221731_x_at",0.007734,1.3760699,"Upregulated"
"217428_s_at",0.007734,4.3649872,"Upregulated"
"204362_at",0.007734,1.1228581,"Upregulated"
"233002_at",0.007734,-2.0125141,"Downregulated"
"216442_x_at",0.007734,2.1089024,"Upregulated"
"230096_at",0.007734,-1.1826703,"Downregulated"
"213338_at",0.007734,1.4560434,"Upregulated"
"203940_s_at",0.007734,1.0981434,"Upregulated"
"229655_at",0.007762,2.5820198,"Upregulated"
"214116_at",0.007762,-1.0911358,"Downregulated"
"212112_s_at",0.007779,-1.1146979,"Downregulated"
"208782_at",0.007779,1.3933127,"Upregulated"
"232214_x_at",0.007779,-2.0380731,"Downregulated"
"238852_at",0.007786,2.0463874,"Upregulated"
"219787_s_at",0.007801,1.4763034,"Upregulated"
"212746_s_at",0.007801,1.2424428,"Upregulated"
"202310_s_at",0.007801,2.2098504,"Upregulated"
"228360_at",0.007801,-3.1547356,"Downregulated"
"223475_at",0.007801,2.5712471,"Upregulated"
"206263_at",0.007834,-1.3462941,"Downregulated"
"207033_at",0.007837,-7.7469969,"Downregulated"
"206561_s_at",0.007837,-4.5482946,"Downregulated"
"238811_at",0.007851,-1.2773207,"Downregulated"
"222449_at",0.007868,1.9360001,"Upregulated"
"240934_at",0.007884,-1.0993772,"Downregulated"
"207031_at",0.007884,2.928947,"Upregulated"
"1558139_at",0.007884,2.088069,"Upregulated"
"224371_at",0.007943,-1.8036343,"Downregulated"
"1552608_at",0.007943,-2.3089769,"Downregulated"
"204620_s_at",0.007943,1.3950646,"Upregulated"
"240385_at",0.007943,-1.4084771,"Downregulated"
"219908_at",0.007958,2.5600329,"Upregulated"
"210641_at",0.007958,-3.5024798,"Downregulated"
"1555606_a_at",0.007958,-1.3472788,"Downregulated"
"233876_at",0.007999,-1.1466635,"Downregulated"
"219274_at",0.007999,-1.1263904,"Downregulated"
"1568634_a_at",0.007999,-2.3766201,"Downregulated"
"241981_at",0.007999,-2.0391,"Downregulated"
"201852_x_at",0.008001,1.3184085,"Upregulated"
"217385_at",0.008006,-1.8060351,"Downregulated"
"231463_at",0.008006,-3.5770859,"Downregulated"
"215103_at",0.008006,-2.8554529,"Downregulated"
"240334_at",0.008006,-1.1944521,"Downregulated"
"212594_at",0.008014,-1.6238949,"Downregulated"
"227782_at",0.008014,-3.1920251,"Downregulated"
"233463_at",0.008014,-2.1346231,"Downregulated"
