"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"uc.137+",-0.147324538450348,7.22323203989873,-1.35459612957464,0.18263130104406,0.37373085861237,-5.62138455556114,"Not Significant"
"mmu-mir-291a-3p-A",-0.159592632599057,6.87450426826127,-1.35459468056551,0.182631759423467,0.37373085861237,-5.62138643913388,"Not Significant"
"Hcd456 right.1",0.242759506102889,8.33612373542757,1.35436575522436,0.18270418873281,0.373804374150644,-5.62168399691069,"Not Significant"
"Hcd871 right",-0.153978596952837,6.95215034005312,-1.35367354216523,0.182923330976539,0.374125378224952,-5.62258345698499,"Not Significant"
"uc.262+A",0.175955789810335,10.7312310519254,1.35363936174792,0.182934157106673,0.374125378224952,-5.62262786002506,"Not Significant"
"uc.206+A.1",0.171540562763033,8.17539759500746,1.35345954428483,0.182991119664246,0.374167145639354,-5.62286144007816,"Not Significant"
"uc.86+.1",-0.16798754169007,7.35174081603345,-1.35267278109831,0.18324051046249,0.374557777285471,-5.62388309866912,"Not Significant"
"Blank.749",0.167525002670525,6.67887892101548,1.35262609057694,0.183255318769552,0.374557777285471,-5.62394371196335,"Not Significant"
"uc.321+.1",-0.143427847646919,8.18341550654178,-1.35189660048518,0.183486802153263,0.374956067461468,-5.62489048165711,"Not Significant"
"mmu-mir-471-P",-0.166377741587022,6.66449130220605,-1.35164100556346,0.183567961117697,0.375047071397689,-5.62522209512768,"Not Significant"
"Hcd190 left.1",-0.153085095224931,6.71680198971614,-1.35128203116324,0.183681992607881,0.375205187373768,-5.62568773796095,"Not Significant"
"mmu-mir-295-A.1",-0.138812392982095,6.80471786725459,-1.35105177893874,0.183755162912572,0.375232513292214,-5.62598634943421,"Not Significant"
"mmu-mir-17-3p-A.1",0.150660149053079,7.32101085064771,1.3509775712113,0.183778749648074,0.375232513292214,-5.62608257864716,"Not Significant"
"Hcd936 right.1",-0.177944276373836,6.84396243814591,-1.35089404368963,0.183805301432983,0.375232513292214,-5.62619088755024,"Not Significant"
"Hcd412 left",-0.15124194425893,6.93028042031431,-1.35074653422176,0.183852199025148,0.37525344190104,-5.62638214590471,"Not Significant"
"Blank.162",0.135317397930051,6.58833585749322,1.35056488266749,0.1839099639929,0.375296538718074,-5.62661764602276,"Not Significant"
"Hcd366 right.1",-0.2507493423168,9.48384133833243,-1.35009358830206,0.184059899890411,0.375527669830207,-5.62722851492197,"Not Significant"
"Hcd57_HPR192 right",-0.210454927799017,8.42679179236931,-1.3495258482927,0.184240643057173,0.375821550777978,-5.62796413243294,"Not Significant"
"mmu-mir-370-A",-0.194399338086036,12.2713756753874,-1.34938498311705,0.184285509318529,0.375838202633287,-5.62814660671956,"Not Significant"
"Blank.1181",0.12840999125946,6.57115647437918,1.34897303734861,0.18441676414838,0.376030996590883,-5.62868013385417,"Not Significant"
"hsa-mir-30a-3p-A.1",0.246460830215568,8.11860665254979,1.34858311530691,0.184541067723519,0.37616297800405,-5.62918499959558,"Not Significant"
"Blank.1593",0.130863637516149,6.58037118828089,1.34853954638443,0.184554961083237,0.37616297800405,-5.62924140372993,"Not Significant"
"Hcd430 left",-0.147718760371959,7.02766167234611,-1.34840703989742,0.184597219986145,0.37617423535485,-5.62941293577328,"Not Significant"
"Hcd682 right.1",0.130874541502483,7.29305503853442,1.34786976667061,0.184768642869862,0.376431129897862,-5.63010828729133,"Not Significant"
